Section,SICLower,SICUpper
A,01110,03220
B,05101,09900
C,10110,33200
D,35110,35300
E,36000,39000
F,41100,43999
G,45111,47990
H,49100,53202
I,55100,56302
J,58110,63990
K,64110,66300
L,68100,68320
M,69101,75000
N,77110,82990
O,84110,84300
P,85100,85600
Q,86101,88990
R,90010,93290
S,94110,96090
T,97000,98200
U,89999,99001
